time,airTemperature.noaa,airTemperature.sg,cloudCover.noaa,cloudCover.sg,currentDirection.meto,currentDirection.sg,currentSpeed.meto,currentSpeed.sg,gust.noaa,gust.sg,humidity.noaa,humidity.sg,precipitation.noaa,precipitation.sg,secondarySwellDirection.noaa,secondarySwellDirection.sg,secondarySwellHeight.noaa,secondarySwellHeight.sg,secondarySwellPeriod.noaa,secondarySwellPeriod.sg,swellDirection.icon,swellDirection.meteo,swellDirection.noaa,swellDirection.sg,swellHeight.icon,swellHeight.meteo,swellHeight.noaa,swellHeight.sg,swellPeriod.icon,swellPeriod.meteo,swellPeriod.noaa,swellPeriod.sg,waterTemperature.meto,waterTemperature.noaa,waterTemperature.sg,waveDirection.icon,waveDirection.meteo,waveDirection.noaa,waveDirection.sg,waveHeight.icon,waveHeight.meteo,waveHeight.noaa,waveHeight.sg,wavePeriod.icon,wavePeriod.meteo,wavePeriod.noaa,wavePeriod.sg,windDirection.icon,windDirection.noaa,windDirection.sg,windSpeed.icon,windSpeed.noaa,windSpeed.sg,windWaveDirection.icon,windWaveDirection.meteo,windWaveDirection.noaa,windWaveDirection.sg,windWaveHeight.icon,windWaveHeight.meteo,windWaveHeight.noaa,windWaveHeight.sg,windWavePeriod.icon,windWavePeriod.meteo,windWavePeriod.noaa,windWavePeriod.sg
2024-02-03 03:00:00+00:00,27.28,27.28,100.0,100.0,142.19,142.19,0.12,0.12,8.01,8.01,77.6,77.6,0.33,0.33,11.42,11.42,0.22,0.22,11.95,11.95,75.55,84.8,33.71,84.8,1.31,0.76,0.2,0.76,7.4,4.94,13.17,4.94,29.64,26.7,29.64,86.07,93.12,90.07,93.12,1.4,1.24,1.11,1.24,6.87,4.25,5.68,4.25,137.21,116.1,137.21,6.08,6.82,6.08,135.61,127.73,100.39,127.73,0.5,0.79,1.01,0.79,3.08,3.45,5.63,3.45
2024-02-03 04:00:00+00:00,27.2,27.2,100.0,100.0,142.76,142.76,0.12,0.12,7.74,7.74,77.73,77.73,0.25,0.25,16.34,16.34,0.22,0.22,12.63,12.63,77.24,87.85,32.16,87.85,1.31,0.8,0.2,0.8,7.36,4.93,12.67,4.93,29.62,26.64,29.62,87.05,92.41,90.45,92.41,1.39,1.22,1.11,1.22,6.87,4.28,5.7,4.28,141.91,116.29,141.91,6.01,6.61,6.01,139.74,129.15,99.88,129.15,0.47,0.71,1.03,0.71,3.03,3.29,5.65,3.29
2024-02-03 05:00:00+00:00,27.12,27.12,100.0,100.0,143.72,143.72,0.11,0.11,7.48,7.48,77.87,77.87,0.18,0.18,21.26,21.26,0.23,0.23,13.31,13.31,78.94,90.89,30.6,90.89,1.31,0.85,0.2,0.85,7.33,4.92,12.17,4.92,29.6,26.57,29.6,88.03,91.71,90.83,91.71,1.39,1.2,1.11,1.2,6.87,4.3,5.73,4.3,146.6,116.47,146.6,5.94,6.39,5.94,143.87,130.57,99.38,130.57,0.45,0.64,1.04,0.64,2.97,3.14,5.68,3.14
2024-02-03 06:00:00+00:00,27.03,27.03,100.0,100.0,146.51,146.51,0.1,0.1,7.21,7.21,78.0,78.0,0.11,0.11,26.18,26.18,0.23,0.23,13.99,13.99,80.63,93.94,29.05,93.94,1.31,0.89,0.2,0.89,7.29,4.91,11.67,4.91,29.57,26.51,29.57,89.01,91.0,91.21,91.0,1.38,1.18,1.11,1.18,6.87,4.33,5.75,4.33,151.3,116.66,151.3,5.87,6.18,5.87,148.0,131.99,98.87,131.99,0.42,0.56,1.06,0.56,2.92,2.98,5.7,2.98
2024-02-03 07:00:00+00:00,27.08,27.08,100.0,100.0,145.71,145.71,0.08,0.08,7.25,7.25,78.23,78.23,0.08,0.08,26.13,26.13,0.23,0.23,13.9,13.9,82.77,93.17,28.31,93.17,1.31,0.88,0.2,0.88,7.24,4.94,11.66,4.94,29.56,26.65,29.56,90.13,92.05,90.69,92.05,1.38,1.18,1.1,1.18,6.87,4.29,5.79,4.29,153.69,117.11,153.69,5.68,6.18,5.68,150.64,132.98,97.79,132.98,0.39,0.59,1.04,0.59,2.84,3.03,5.75,3.03
2024-02-03 08:00:00+00:00,27.12,27.12,100.0,100.0,145.98,145.98,0.08,0.08,7.29,7.29,78.47,78.47,0.05,0.05,26.08,26.08,0.24,0.24,13.8,13.8,84.92,92.39,27.56,92.39,1.32,0.86,0.19,0.86,7.18,4.98,11.65,4.98,29.55,26.8,29.55,91.24,93.11,90.17,93.11,1.37,1.19,1.09,1.19,6.86,4.26,5.82,4.26,156.08,117.55,156.08,5.48,6.18,5.48,153.28,133.97,96.71,133.97,0.37,0.63,1.01,0.63,2.75,3.09,5.79,3.09
2024-02-03 09:00:00+00:00,27.16,27.16,100.0,100.0,147.37,147.37,0.09,0.09,7.33,7.33,78.7,78.7,0.01,0.01,26.03,26.03,0.24,0.24,13.71,13.71,87.06,91.62,26.82,91.62,1.32,0.85,0.19,0.85,7.13,5.01,11.64,5.01,29.54,26.94,29.54,92.36,94.16,89.65,94.16,1.37,1.19,1.08,1.19,6.86,4.22,5.86,4.22,158.47,118.0,158.47,5.29,6.18,5.29,155.92,134.96,95.63,134.96,0.34,0.66,0.99,0.66,2.67,3.14,5.84,3.14
2024-02-03 10:00:00+00:00,27.33,27.33,86.47,86.47,147.14,147.14,0.09,0.09,7.12,7.12,78.33,78.33,0.2,0.2,26.03,26.03,0.23,0.23,13.7,13.7,87.8,90.57,40.07,90.57,1.32,0.83,0.17,0.83,7.16,5.06,12.32,5.06,29.54,27.93,29.54,94.37,96.26,90.05,96.26,1.38,1.2,1.09,1.2,6.81,4.2,5.9,4.2,153.52,117.49,153.52,5.62,6.05,5.62,151.49,135.67,95.6,135.67,0.39,0.7,1.0,0.7,2.83,3.22,5.88,3.22
2024-02-03 11:00:00+00:00,27.5,27.5,72.93,72.93,148.11,148.11,0.1,0.1,6.91,6.91,77.97,77.97,0.38,0.38,26.03,26.03,0.23,0.23,13.69,13.69,88.54,89.51,53.33,89.51,1.31,0.82,0.15,0.82,7.19,5.1,12.99,5.1,29.56,28.91,29.56,96.38,98.37,90.44,98.37,1.39,1.21,1.1,1.21,6.76,4.17,5.95,4.17,148.56,116.99,148.56,5.94,5.93,5.94,147.05,136.39,95.56,136.39,0.45,0.74,1.02,0.74,2.99,3.29,5.93,3.29
2024-02-03 12:00:00+00:00,27.67,27.67,59.4,59.4,148.15,148.15,0.1,0.1,6.71,6.71,77.6,77.6,0.56,0.56,26.03,26.03,0.22,0.22,13.68,13.68,89.28,88.46,66.58,88.46,1.31,0.8,0.13,0.8,7.22,5.15,13.67,5.15,29.59,29.89,29.59,98.39,100.47,90.84,100.47,1.4,1.22,1.11,1.22,6.71,4.15,5.99,4.15,143.61,116.48,143.61,6.27,5.8,6.27,142.62,137.1,95.53,137.1,0.5,0.78,1.03,0.78,3.15,3.37,5.97,3.37
2024-02-03 13:00:00+00:00,27.78,27.78,42.1,42.1,146.54,146.54,0.1,0.1,6.76,6.76,77.3,77.3,0.53,0.53,28.99,28.99,0.23,0.23,11.69,11.69,87.9,88.25,60.36,88.25,1.29,0.8,0.12,0.8,7.33,5.16,12.82,5.16,29.62,30.44,29.62,100.41,101.62,91.04,101.62,1.41,1.23,1.11,1.23,6.67,4.16,6.01,4.16,143.29,114.44,143.29,6.68,5.92,6.68,142.28,137.15,96.44,137.15,0.58,0.8,1.03,0.8,3.38,3.41,5.98,3.41
2024-02-03 14:00:00+00:00,27.89,27.89,24.8,24.8,147.51,147.51,0.1,0.1,6.81,6.81,77.0,77.0,0.5,0.5,31.96,31.96,0.25,0.25,9.69,9.69,86.53,88.03,54.14,88.03,1.26,0.79,0.12,0.79,7.43,5.17,11.98,5.17,29.67,30.99,29.67,102.44,102.76,91.23,102.76,1.43,1.25,1.12,1.25,6.62,4.17,6.03,4.17,142.98,112.4,142.98,7.09,6.04,7.09,141.95,137.19,97.34,137.19,0.65,0.81,1.04,0.81,3.61,3.44,6.0,3.44
2024-02-03 15:00:00+00:00,27.99,27.99,7.5,7.5,145.88,145.88,0.11,0.11,6.86,6.86,76.7,76.7,0.47,0.47,34.92,34.92,0.26,0.26,7.7,7.7,85.15,87.82,47.92,87.82,1.24,0.79,0.11,0.79,7.54,5.18,11.13,5.18,29.7,31.54,29.7,104.46,103.91,91.43,103.91,1.44,1.26,1.12,1.26,6.58,4.18,6.05,4.18,142.66,110.36,142.66,7.5,6.16,7.5,141.61,137.24,98.25,137.24,0.73,0.83,1.04,0.83,3.84,3.48,6.01,3.48
2024-02-03 16:00:00+00:00,27.97,27.97,31.23,31.23,146.86,146.86,0.11,0.11,6.85,6.85,76.87,76.87,0.33,0.33,32.43,32.43,0.25,0.25,8.61,8.61,88.02,87.62,37.22,87.62,1.26,0.78,0.13,0.78,7.49,5.21,11.01,5.21,29.74,31.18,29.74,105.58,104.64,91.38,104.64,1.45,1.27,1.11,1.27,6.56,4.19,6.05,4.19,141.48,111.41,141.48,7.35,6.16,7.35,140.87,136.4,98.12,136.4,0.72,0.86,1.03,0.86,3.78,3.54,6.01,3.54
2024-02-03 17:00:00+00:00,27.95,27.95,54.97,54.97,145.84,145.84,0.11,0.11,6.84,6.84,77.03,77.03,0.2,0.2,29.94,29.94,0.24,0.24,9.53,9.53,90.88,87.42,26.52,87.42,1.27,0.77,0.15,0.77,7.44,5.23,10.88,5.23,29.76,30.81,29.76,106.69,105.38,91.33,105.38,1.46,1.28,1.11,1.28,6.55,4.21,6.06,4.21,140.3,112.46,140.3,7.2,6.17,7.2,140.14,135.57,98.0,135.57,0.71,0.88,1.03,0.88,3.72,3.59,6.02,3.59
2024-02-03 18:00:00+00:00,27.92,27.92,78.7,78.7,145.5,145.5,0.11,0.11,6.84,6.84,77.2,77.2,0.06,0.06,27.45,27.45,0.23,0.23,10.44,10.44,93.75,87.22,15.82,87.22,1.29,0.76,0.17,0.76,7.39,5.26,10.76,5.26,29.76,30.45,29.76,107.81,106.11,91.28,106.11,1.47,1.29,1.1,1.29,6.53,4.22,6.06,4.22,139.12,113.51,139.12,7.05,6.17,7.05,139.4,134.73,97.87,134.73,0.7,0.91,1.02,0.91,3.66,3.65,6.02,3.65
2024-02-03 19:00:00+00:00,27.79,27.79,85.8,85.8,145.22,145.22,0.12,0.12,6.9,6.9,77.57,77.57,0.05,0.05,28.45,28.45,0.22,0.22,11.28,11.28,95.4,83.82,16.5,83.82,1.3,0.71,0.17,0.71,7.32,5.22,10.72,5.22,29.76,29.42,29.76,106.76,107.58,91.21,107.58,1.45,1.31,1.1,1.31,6.58,4.21,6.07,4.21,136.61,115.62,136.61,6.73,6.08,6.73,137.5,133.94,97.34,133.94,0.63,0.96,1.02,0.96,3.47,3.74,6.03,3.74
